Date,BNB-USD,BTC-USD,ETH-USD
2021-03-16,258.1006774902344,56804.90234375,1806.9718017578125
2021-03-17,269.8548583984375,58870.89453125,1823.4493408203125
2021-03-18,261.7048034667969,57858.921875,1782.8551025390625
2021-03-19,264.05743408203125,58346.65234375,1817.6241455078125
2021-03-20,264.7416687011719,58313.64453125,1812.6346435546875
2021-03-21,264.88616943359375,57523.421875,1788.217041015625
2021-03-22,255.9001922607422,54529.14453125,1691.333984375
2021-03-23,255.68966674804688,54738.9453125,1678.650146484375
2021-03-24,249.85137939453125,52774.265625,1593.4134521484375
2021-03-25,234.88543701171875,51704.16015625,1595.3592529296875
2021-03-26,255.1045684814453,55137.3125,1702.842041015625
2021-03-27,269.1023254394531,55973.51171875,1716.49462890625
2021-03-28,269.1912841796875,55950.74609375,1691.35595703125
2021-03-29,275.2146301269531,57750.19921875,1819.6849365234375
2021-03-30,311.4264831542969,58917.69140625,1846.03369140625
2021-03-31,302.0634460449219,58918.83203125,1918.362060546875
2021-04-01,335.212890625,59095.80859375,1977.27685546875
2021-04-02,339.0077209472656,59384.3125,2143.2255859375
2021-04-03,323.1335144042969,57603.890625,2028.4224853515625
2021-04-04,351.6243896484375,58758.5546875,2093.122802734375
2021-04-05,367.7724914550781,59057.87890625,2107.88720703125
2021-04-06,403.59075927734375,58192.359375,2118.37890625
2021-04-07,374.6588134765625,56048.9375,1971.0772705078125
2021-04-08,418.03839111328125,58323.953125,2088.57373046875
2021-04-09,453.178466796875,58245.00390625,2072.10888671875
2021-04-10,472.5603332519531,59793.234375,2135.942138671875
2021-04-11,525.3855590820312,60204.96484375,2157.656982421875
2021-04-12,598.72265625,59893.453125,2139.353271484375
2021-04-13,549.5865478515625,63503.45703125,2299.187744140625
2021-04-14,549.5918579101562,63109.6953125,2435.10498046875
2021-04-15,542.632080078125,63314.01171875,2519.1162109375
2021-04-16,510.2201843261719,61572.7890625,2431.946533203125
2021-04-17,520.416748046875,60683.8203125,2344.89501953125
2021-04-18,481.03424072265625,56216.18359375,2237.136962890625
2021-04-19,505.0929260253906,55724.265625,2166.188720703125
2021-04-20,587.0291137695312,56473.03125,2330.2109375
2021-04-21,546.0235595703125,53906.08984375,2364.751708984375
2021-04-22,506.01300048828125,51762.2734375,2403.53515625
2021-04-23,526.5652465820312,51093.65234375,2363.586181640625
2021-04-24,496.4150695800781,50050.8671875,2211.625732421875
2021-04-25,505.0770568847656,49004.25390625,2316.0595703125
2021-04-26,534.5776977539062,54021.75390625,2534.481689453125
2021-04-27,568.4705200195312,55033.1171875,2662.865234375
2021-04-28,562.632568359375,54824.703125,2746.380126953125
2021-04-29,599.70654296875,53555.109375,2756.876953125
2021-04-30,624.08056640625,57750.17578125,2773.20703125
2021-05-01,619.3472290039062,57828.05078125,2945.892822265625
2021-05-02,622.1010131835938,56631.078125,2952.05615234375
2021-05-03,675.68408203125,57200.29296875,3431.086181640625
2021-05-04,611.2003173828125,53333.5390625,3253.62939453125
2021-05-05,651.6627197265625,57424.0078125,3522.783203125
2021-05-06,633.2803955078125,56396.515625,3490.88037109375
2021-05-07,624.5632934570312,57356.40234375,3484.72900390625
2021-05-08,646.100830078125,58803.77734375,3902.647705078125
2021-05-09,662.2285766601562,58232.31640625,3928.8447265625
2021-05-10,631.3519897460938,55859.796875,3952.2939453125
2021-05-11,672.3339233398438,56704.57421875,4168.701171875
2021-05-12,588.1851806640625,49150.53515625,3785.8486328125
2021-05-13,571.4345092773438,49716.19140625,3715.1484375
2021-05-14,603.1282958984375,49880.53515625,4079.057373046875
2021-05-15,563.0416870117188,46760.1875,3638.1220703125
2021-05-16,562.829833984375,46456.05859375,3587.506103515625
2021-05-17,511.9643859863281,43537.51171875,3282.397705078125
2021-05-18,508.0223083496094,42909.40234375,3380.070068359375
2021-05-19,339.0254821777344,37002.44140625,2460.67919921875
2021-05-20,393.6127624511719,40782.73828125,2784.294189453125
2021-05-21,326.29632568359375,37304.69140625,2430.621337890625
2021-05-22,299.50408935546875,37536.6328125,2295.70556640625
2021-05-23,262.9456787109375,34770.58203125,2109.579833984375
2021-05-24,345.30963134765625,38705.98046875,2643.591064453125
2021-05-25,344.1139831542969,38402.22265625,2706.62890625
2021-05-26,379.85430908203125,39294.19921875,2888.69873046875
2021-05-27,367.6557922363281,38436.96875,2736.488525390625
2021-05-28,329.8799133300781,35697.60546875,2419.90625
2021-05-29,305.0521545410156,34616.06640625,2279.51416015625
2021-05-30,325.7840270996094,35678.12890625,2390.305419921875
2021-05-31,354.329345703125,37332.85546875,2714.9453125
2021-06-01,362.7946472167969,36684.92578125,2633.518310546875
2021-06-02,401.2623291015625,37575.1796875,2706.125
2021-06-03,427.80792236328125,39208.765625,2855.12646484375
2021-06-04,391.39532470703125,36894.40625,2688.195068359375
2021-06-05,390.4318542480469,35551.95703125,2630.576904296875
2021-06-06,393.8202209472656,35862.37890625,2715.0927734375
2021-06-07,357.3102111816406,33560.70703125,2590.26318359375
2021-06-08,354.0013732910156,33472.6328125,2517.438720703125
2021-06-09,375.73468017578125,37345.12109375,2608.26708984375
2021-06-10,352.1831970214844,36702.59765625,2471.5185546875
2021-06-11,345.9336853027344,37334.3984375,2353.768798828125
2021-06-12,343.74102783203125,35552.515625,2372.484375
2021-06-13,366.6489562988281,39097.859375,2508.3916015625
2021-06-14,368.7927551269531,40218.4765625,2537.89111328125
2021-06-15,373.566162109375,40406.26953125,2610.936767578125
2021-06-16,347.033447265625,38347.0625,2367.66357421875
2021-06-17,352.738525390625,38053.50390625,2372.001953125
2021-06-18,336.8096923828125,35787.24609375,2231.733154296875
2021-06-19,335.71282958984375,35615.87109375,2178.4990234375
2021-06-20,340.06719970703125,35698.296875,2246.364501953125
2021-06-21,270.98443603515625,31676.693359375,1888.447509765625
2021-06-22,261.8180847167969,32505.66015625,1874.9500732421875
2021-06-23,294.49029541015625,33723.02734375,1989.736328125
2021-06-24,308.39703369140625,34662.4375,1988.456298828125
2021-06-25,281.62091064453125,31637.779296875,1813.21728515625
2021-06-26,279.43804931640625,32186.27734375,1829.2392578125
2021-06-27,290.5670166015625,34649.64453125,1978.8946533203125
2021-06-28,289.53411865234375,34434.3359375,2079.657470703125
2021-06-29,300.2115478515625,35867.77734375,2160.768310546875
2021-06-30,303.2958679199219,35040.8359375,2274.547607421875
2021-07-01,288.2184143066406,33572.1171875,2113.60546875
2021-07-02,287.423095703125,33897.046875,2150.040283203125
2021-07-03,298.23712158203125,34668.546875,2226.1142578125
2021-07-04,307.7320861816406,35287.78125,2321.72412109375
2021-07-05,302.37799072265625,33746.00390625,2198.58251953125
2021-07-06,320.934814453125,34235.1953125,2324.679443359375
2021-07-07,327.5224609375,33855.328125,2315.161865234375
2021-07-08,310.4271240234375,32877.37109375,2120.0263671875
2021-07-09,316.4845275878906,33798.01171875,2146.6923828125
2021-07-10,316.14013671875,33520.51953125,2111.403564453125
2021-07-11,322.0316467285156,34240.1875,2139.664794921875
2021-07-12,316.32818603515625,33155.84765625,2036.7210693359375
2021-07-13,308.8111572265625,32702.025390625,1940.083984375
2021-07-14,309.4063720703125,32822.34765625,1994.331298828125
2021-07-15,315.2440185546875,31780.73046875,1911.1756591796875
2021-07-16,302.985595703125,31421.5390625,1880.3829345703125
2021-07-17,300.4979248046875,31533.068359375,1898.8251953125
2021-07-18,302.4804992675781,31796.810546875,1895.5521240234375
2021-07-19,280.01861572265625,30817.83203125,1817.296630859375
2021-07-20,264.7823791503906,29807.34765625,1787.5107421875
2021-07-21,292.5313720703125,32110.693359375,1990.9708251953125
2021-07-22,293.6411437988281,32313.10546875,2025.2027587890625
2021-07-23,299.2829895019531,33581.55078125,2124.776611328125
2021-07-24,302.0718688964844,34292.4453125,2189.21875
2021-07-25,302.4361572265625,35350.1875,2191.373779296875
2021-07-26,304.4782409667969,37337.53515625,2233.36669921875
2021-07-27,313.60260009765625,39406.94140625,2298.33349609375
2021-07-28,313.42864990234375,39995.90625,2296.54541015625
2021-07-29,316.74945068359375,40008.421875,2380.956787109375
2021-07-30,322.90936279296875,42235.546875,2466.96142578125
2021-07-31,333.5495910644531,41626.1953125,2536.2099609375
2021-08-01,333.4840087890625,39974.89453125,2561.85205078125
2021-08-02,331.1031188964844,39201.9453125,2610.1533203125
2021-08-03,322.74774169921875,38152.98046875,2502.349609375
2021-08-04,334.9187927246094,39747.50390625,2724.619873046875
2021-08-05,337.8738708496094,40869.5546875,2827.328857421875
2021-08-06,342.1369934082031,42816.5,2890.941650390625
2021-08-07,355.7413635253906,44555.80078125,3157.23876953125
2021-08-08,342.06475830078125,43798.1171875,3013.732666015625
2021-08-09,354.9668273925781,46365.40234375,3167.856201171875
2021-08-10,371.9543762207031,45585.03125,3141.691162109375
2021-08-11,391.7570495605469,45593.63671875,3164.2451171875
2021-08-12,385.8189697265625,44428.2890625,3043.414306640625
2021-08-13,410.94488525390625,47793.3203125,3322.211669921875
2021-08-14,409.03448486328125,47096.9453125,3265.443359375
